cast_member_list,vote_average,movie_count
Anna Vareschi,5.5,1
Anna Wood,6.6,1
Anna-Katharina Schwabroh,5.9,1
AnnaSophia Robb,6.122222222222223,9
Annabella Sciorra,6.14,5
Annabelle Wallis,2.8,2
Annabeth Gish,5.466666666666666,3
Annalee Jefferies,6.2,1
Anne Archer,6.0200000000000005,5
Anne Bancroft,6.228571428571429,7
Anne Consigny,6.6,2
Anne Hathaway,6.595454545454545,22
Anne Heche,6.033333333333333,9
Anne Louise Hassing,7.9,1
Anne Marivin,6.8,1
Anne Ramsay,5.5,1
Anne Revere,6.8,1
Anne Suzuki,6.35,2
Anne-Marie Duff,6.7,3
Anne-Marie Loop,7.6,1
Annedore Kleist,6.3,1
Annelyse Ahmad,5.5,1
Annette Badland,6.3,1
Annette Bening,6.2153846153846155,13
Annette O'Toole,5.3,1
Annie Allix,7.5,1
Annie Corley,6.566666666666666,3
Annie Parisse,6.3,1
Annika Marks,6.6,1
Annika Peterson,7.7,1
Ansel Elgort,6.9,2
Anson Mount,5.2,2
Anthony 'Citric' Campos,6.3,1
Anthony Anderson,5.425,16
Anthony Calf,5.2,1
Anthony Daniels,8.05,2
Anthony DeSando,5.3,1
Anthony Dileo Jr.,6.9,1
Anthony Edwards,6.525,4
Anthony Flanagan,7.0,1
Anthony Heald,6.733333333333333,3
Anthony Higgins,6.7,1
Anthony Hopkins,6.6,27
Anthony Johnson,5.4,1
Anthony LaPaglia,6.2,4
Anthony Mackie,6.061538461538461,13
Anthony Michael Hall,7.3,2
Anthony Perkins,7.1499999999999995,2
Anthony Quayle,6.466666666666666,3
Anthony Quinn,6.9,4
Anthony Rapp,6.7,1
Anthony Ray Parker,5.0,1
Anthony Ruivivar,6.2,1
Anthony Rutowicz,0.0,1
Anthony Stewart Head,6.45,2
Anthony Wong,7.0,1
Anthony Zerbe,5.9,2
Antje Traue,6.5,1
Antoine McLean,4.8,1
Antoine Saint-John,6.6,1
Anton Lesser,6.4,1
Anton Yelchin,6.109090909090909,11
Antonia Steinberg,5.4,1
Antonio Arrué,0.0,1
Antonio Banderas,6.056,25
Antonio Cantafora,6.0,1
Antonio Monroy,7.3,1
Antony Byrne,5.2,1
Antony Starr,5.3,1
Anupam Kher,6.75,2
Anushka Sharma,7.3,1
Anushka Shetty,7.5,1
Anwar Congo,7.5,1
Anya Taylor-Joy,6.3,1
Arabella Field,7.0,1
Arabella Holzbog,5.7,1
Arata Furuta,6.5,1
Arcelia Ramírez,8.1,1
Archie Kao,5.2,1
Archie Panjabi,6.675,4
Arfi Lamba,5.3,1
Ari Folman,7.8,1
Ari Graynor,6.040000000000001,5
Ariadna Gil,6.6,2
Ariana Richards,4.7,1
Ariana Stephens,0.0,1
Ariel Gade,5.300000000000001,2
Ariel Levy,5.0,1
Ariel Winter,7.300000000000001,2
Arielle Kebbel,5.8999999999999995,3
Arif Herati,6.3,1
Arif Zakaria,6.6,1
Arija Bareikis,5.5,1
Arié Elmaleh,5.3,1
Arletty,7.2,1
Arliss Howard,6.7,1
Arlo Guthrie,7.1,1
Arly Jover,0.0,1
Armand Assante,5.833333333333333,6
Armando Espitia,6.2,1
Armie Hammer,6.314285714285715,7
Armin Habibovich,0.0,1
Armin Mueller-Stahl,6.516666666666667,6
Armin Rohde,6.0,2
Arnie Pantoja,6.1,1
Arnold Schwarzenegger,6.037037037037037,27
Arnold Vosloo,6.65,2
